"Região Norte";3948;10146;441;5049;417;1118;5;12;17017;7106;3350;170;249;1534;260;2762;1142;6088;13704;74518
".. Rondônia";340;1141;39;438;45;129;1;-;1875;746;327;24;24;191;24;194;115;523;1479;7655
".. Acre";187;496;27;261;25;55;-;1;762;475;159;4;11;85;8;127;63;180;550;3476
".. Amazonas";987;2455;58;967;63;261;1;3;2982;1406;625;18;70;306;79;644;330;1903;2721;15879
".. Roraima";90;276;12;167;2;30;-;-;389;183;96;14;10;34;5;91;38;82;435;1954
".. Pará";1955;4394;248;2528;166;442;1;8;8310;3430;1663;86;100;733;121;1357;439;2937;6657;35575
".. Amapá";154;385;18;186;6;47;2;-;571;266;109;4;13;71;7;180;63;227;543;2852
".. Tocantins";235;999;39;502;110;154;-;-;2128;600;371;20;21;114;16;169;94;236;1319;7127
"Região Nordeste";13510;43335;1824;24034;3704;5992;6;38;88106;29551;16190;1155;1183;6619;636;7446;3041;23574;49804;319748
".. Maranhão";1381;3664;175;2539;256;468;2;7;9856;2456;1605;86;80;619;96;1068;408;1755;5580;32101
".. Piauí";670;2555;94;1423;188;348;-;2;6116;1661;897;50;64;336;44;495;173;830;2619;18565
".. Ceará";1877;7870;285;2810;933;1221;1;7;13778;5469;2262;187;190;927;95;968;397;3376;9297;51950
".. Rio Grande do Norte";660;3189;143;1758;197;428;-;5;5164;1706;971;92;72;498;36;396;156;688;2978;19137
".. Paraíba";843;3569;129;2248;170;555;-;1;7700;2462;1360;95;157;634;33;474;251;1386;3173;25240
".. Pernambuco";2909;8142;271;4378;552;1090;1;7;16842;6742;3156;176;209;1484;97;1120;592;2575;7480;57823
".. Alagoas";918;2028;111;1720;185;275;-;3;5299;1650;1207;50;58;307;53;488;172;1078;3463;19065
".. Sergipe";484;1574;70;968;308;252;-;2;3083;1045;622;83;43;274;24;332;136;770;2167;12237
".. Bahia";3768;10744;546;6190;915;1355;2;4;20268;6360;4110;336;310;1540;158;2105;756;11116;13047;83630
"Região Sudeste";24287;96943;2705;29470;5686;16902;7;80;159973;70576;29474;2363;2770;18037;670;8062;4409;32056;57931;562401
".. Minas Gerais";5562;21230;681;7032;2071;3800;3;18;33529;14862;6391;515;777;3450;136;1816;965;10020;14845;127703
".. Espírito Santo";689;3837;63;1327;294;757;-;4;6300;2033;1126;64;108;605;68;383;255;195;3922;22030
".. Rio de Janeiro";7648;20964;800;7779;821;3150;1;25;37552;15783;5822;734;562;5044;189;1679;847;7575;14069;131044
".. São Paulo";10388;50912;1161;13332;2500;9195;3;33;82592;37898;16135;1050;1323;8938;277;4184;2342;14266;25095;281624
"Região Sul";7005;38428;767;10683;1744;6359;-;21;53473;22373;9475;410;781;4332;186;2445;1475;7235;21322;188514
".. Paraná";2293;12856;272;4111;787;2207;-;7;20075;7939;3920;114;340;1527;75;1026;579;2308;8912;69348
".. Santa Catarina";1352;7789;165;2068;376;1160;-;4;10385;4302;1748;106;133;928;25;542;320;1150;4447;37000
".. Rio Grande do Sul";3360;17783;330;4504;581;2992;-;10;23013;10132;3807;190;308;1877;86;877;576;3777;7963;82166
"Região Centro-Oeste";3424;13116;371;4736;929;2010;-;6;21715;9439;4274;202;342;1988;137;1767;983;2238;14181;81858
".. Mato Grosso do Sul";540;2524;75;947;138;406;-;1;4536;1705;756;57;67;349;29;277;181;251;2224;15063
".. Mato Grosso";691;2475;104;1140;213;305;-;2;3980;1731;767;27;58;400;37;419;247;1044;3329;16969
".. Goiás";1694;5771;156;2075;436;922;-;2;9938;4776;2060;96;130;980;51;770;362;861;6728;37808
".. Distrito Federal";499;2346;36;574;142;377;-;1;3261;1227;691;22;87;259;20;301;193;82;1900;12018
"Total";52174;201968;6108;73972;12480;32381;18;157;340284;139045;62763;4300;5325;32510;1889;22482;11050;71191;156942;1227039
