Região Norte;4221;12098;531;6128;446;1731;3;13;19603;9064;3858;318;313;2236;250;2536;1248;7034;14055;85686
.. Rondônia;340;1446;38;573;59;205;1;2;1999;909;353;17;27;260;14;166;94;521;1314;8338
.. Acre;192;561;41;232;19;66;-;-;926;639;174;6;14;101;8;123;60;311;625;4098
.. Amazonas;983;2729;107;1343;54;357;-;4;3386;1574;805;46;81;440;67;644;360;2317;3030;18327
.. Roraima;130;419;13;191;8;77;-;-;610;236;114;35;17;77;11;88;69;93;591;2779
.. Pará;2164;5279;246;2890;195;728;2;3;9644;4573;1847;190;140;1069;130;1240;482;3290;6487;40599
.. Amapá;184;503;23;213;18;81;-;1;711;409;160;10;10;97;5;150;68;250;631;3524
.. Tocantins;228;1161;63;686;93;217;-;3;2327;724;405;14;24;192;15;125;115;252;1377;8021
Região Nordeste;15222;52717;2053;25447;4030;9189;7;50;96244;38807;18158;2247;1687;10310;542;6545;3268;21994;44284;352801
.. Maranhão;1734;4501;215;3092;336;664;1;9;10726;3217;1846;197;88;831;85;983;377;1712;4514;35128
.. Piauí;754;2938;123;1630;217;542;1;3;6415;2389;1002;126;80;477;46;406;221;897;2261;20528
.. Ceará;2375;9748;308;2703;806;2082;1;11;15490;7669;3019;412;348;1567;108;911;553;1643;6826;56580
.. Rio Grande do Norte;884;3691;137;1723;218;658;2;3;6132;2445;1148;132;135;663;32;338;156;675;2595;21767
.. Paraíba;1092;4296;154;2202;240;710;-;2;7743;3266;1305;167;142;1078;45;446;239;1585;2666;27378
.. Pernambuco;2905;9698;321;4802;614;1592;1;8;17876;8017;3596;457;357;2248;73;933;562;2046;8189;64295
.. Alagoas;916;2550;93;1917;220;408;1;4;6287;2074;1177;127;108;473;29;383;197;940;2383;20287
.. Sergipe;574;1889;73;948;327;359;-;3;3135;1275;676;131;50;466;12;342;148;1108;1957;13473
.. Bahia;3988;13406;629;6430;1052;2174;-;7;22440;8455;4389;498;379;2507;112;1803;815;11388;12893;93365
Região Sudeste;25701;110909;3240;33269;6855;21891;10;105;170916;78472;31583;3613;3291;25959;627;7423;4197;36049;52133;616243
.. Minas Gerais;6290;24524;862;8130;2855;5319;3;22;35493;18192;7124;664;855;5349;117;1780;1029;9301;13113;141022
.. Espírito Santo;708;4774;95;1511;182;1224;1;5;7046;2510;1212;108;169;819;33;309;215;208;3302;24431
.. Rio de Janeiro;8147;22656;944;8549;1085;3940;2;35;38939;17253;6081;1067;606;6842;183;1473;802;12027;13969;144600
.. São Paulo;10556;58955;1339;15079;2733;11408;4;43;89438;40517;17166;1774;1661;12949;294;3861;2151;14513;21749;306190
Região Sul;7571;44064;793;13271;2140;9463;2;21;54161;25044;10276;674;817;6202;159;2281;1565;7253;20329;206086
.. Paraná;2330;14860;320;4646;912;3393;-;4;20294;9155;4200;215;308;2167;72;881;636;1785;8388;74566
.. Santa Catarina;1602;9286;160;2425;454;1519;1;5;11468;5219;2035;148;183;1304;31;536;337;1240;4329;42282
.. Rio Grande do Sul;3639;19918;313;6200;774;4551;1;12;22399;10670;4041;311;326;2731;56;864;592;4228;7612;89238
Região Centro-Oeste;3951;15513;451;5370;1055;2961;1;17;23208;10618;4895;300;398;2859;148;1569;1030;2642;11999;88985
.. Mato Grosso do Sul;635;2895;69;982;116;516;-;4;4894;2248;912;82;55;541;24;252;167;513;1910;16815
.. Mato Grosso;828;2889;115;1267;212;500;-;2;4430;1927;868;51;92;664;44;396;237;1035;2784;18341
.. Goiás;1833;6874;198;2439;426;1357;1;9;10752;5189;2342;139;173;1384;71;706;475;828;5829;41025
.. Distrito Federal;655;2855;69;682;301;588;-;2;3132;1254;773;28;78;270;9;215;151;266;1476;12804
Total;56666;235301;7068;83485;14526;45235;23;206;364132;162005;68770;7152;6506;47566;1726;20354;11308;74972;142800;1349801
