"Região Norte";3417;7593;399;3619;345;830;2;14;14026;5509;2683;146;196;1105;201;3149;1002;7920;10837;62993
".. Rondônia";280;886;30;396;30;105;-;-;1675;574;287;18;21;139;18;253;110;579;1436;6837
".. Acre";155;331;20;172;32;58;-;2;677;333;143;2;8;57;7;142;50;316;387;2892
".. Amazonas";817;1835;70;700;70;159;-;3;2222;1103;539;36;66;250;65;658;289;2119;1991;12992
".. Roraima";101;213;10;114;11;14;-;-;291;115;80;4;5;36;10;82;21;78;351;1536
".. Pará";1718;3341;228;1716;124;374;1;8;6858;2748;1265;72;77;507;76;1572;407;4220;5200;30512
".. Amapá";115;202;15;111;10;27;-;1;359;164;93;3;4;20;4;217;34;340;421;2140
".. Tocantins";231;785;26;410;68;93;1;-;1944;472;276;11;15;96;21;225;91;268;1051;6084
"Região Nordeste";12454;36091;1812;21355;3496;4299;12;39;82152;23535;14003;787;929;4630;635;9037;3041;21696;40473;280476
".. Maranhão";1324;2881;165;2025;228;342;2;3;8229;1646;1380;46;81;435;107;1251;338;1666;3585;25734
".. Piauí";660;2007;107;1167;231;267;1;2;5553;1148;808;36;81;270;47;599;210;519;1860;15573
".. Ceará";1909;6670;261;2796;987;862;2;6;13374;4426;1932;156;171;660;92;1259;466;2316;5849;44194
".. Rio Grande do Norte";605;2590;116;1411;188;315;1;2;4759;1505;753;94;37;348;24;409;164;608;2286;16215
".. Paraíba";804;3001;175;2106;239;411;-;3;7286;1852;1094;50;74;347;31;578;243;1772;2731;22797
".. Pernambuco";2437;7095;315;4339;498;705;3;7;16801;5437;2918;124;127;994;87;1445;559;2819;7968;54678
".. Alagoas";789;1647;111;1407;153;194;1;1;4802;1411;1017;36;47;259;18;604;194;1305;3060;17056
".. Sergipe";428;1392;61;934;246;193;1;2;2928;823;581;39;54;214;36;346;120;698;1641;10737
".. Bahia";3498;8808;501;5170;726;1010;1;13;18420;5287;3520;206;257;1103;193;2546;747;9993;11493;73492
"Região Sudeste";21624;84500;2766;28544;5447;12299;8;56;152139;58481;27304;1609;2098;12302;692;8835;3987;37680;54843;515214
".. Minas Gerais";5105;17355;692;6085;1768;2701;1;9;31060;12009;5783;343;535;2422;102;2185;900;12565;12681;114301
".. Espírito Santo";603;3255;69;1214;254;526;-;4;6352;1830;950;47;55;355;44;346;226;336;3930;20396
".. Rio de Janeiro";6005;19061;828;8553;1105;2564;3;18;36799;13450;5423;502;436;3417;206;1848;755;8733;14184;123890
".. São Paulo";9911;44829;1177;12692;2320;6508;4;25;77928;31192;15148;717;1072;6108;340;4456;2106;16046;24048;256627
"Região Sul";6313;33795;672;9695;1864;4270;-;10;52426;19897;8571;325;720;3071;217;2559;1435;9050;20683;175573
".. Paraná";1857;11155;191;3680;757;1464;-;2;19549;6940;3380;96;270;1086;116;1089;611;3431;9286;64960
".. Santa Catarina";1346;6684;150;1896;366;778;-;1;9666;3571;1592;65;119;612;14;543;305;2078;4039;33825
".. Rio Grande do Sul";3110;15956;331;4119;741;2028;-;7;23211;9386;3599;164;331;1373;87;927;519;3541;7358;76788
"Região Centro-Oeste";3202;10276;362;3771;709;1320;1;6;19331;7117;3641;112;273;1381;139;1787;895;2648;11861;68832
".. Mato Grosso do Sul";532;2128;75;861;131;281;-;-;4193;1437;666;34;47;311;42;395;190;177;2110;13610
".. Mato Grosso";734;1832;79;864;181;220;-;3;3857;1365;710;20;53;278;33;414;191;521;2912;14267
".. Goiás";1501;4370;152;1547;267;566;1;3;8391;3455;1722;51;111;607;41;685;327;1778;4921;30496
".. Distrito Federal";435;1946;56;499;130;253;-;-;2890;860;543;7;62;185;23;293;187;172;1918;10459
"Total";47010;172255;6011;66984;11861;23018;23;125;320074;114539;56202;2979;4216;22489;1884;25367;10360;78994;138697;1103088
