"Região Norte";2637;3926;303;1843;95;433;1;14;8149;3603;1619;64;89;626;179;3925;678;11075;6226;45485
".. Rondônia";271;540;38;223;14;62;-;1;1076;450;202;7;5;68;12;418;86;832;1104;5409
".. Acre";133;148;17;60;8;18;-;-;327;138;87;1;2;32;6;176;51;672;246;2122
".. Amazonas";587;1039;60;511;18;96;-;6;1293;706;324;21;22;122;34;1005;187;2271;1233;9535
".. Roraima";99;100;6;58;4;14;-;-;193;92;59;3;3;16;1;84;23;114;397;1266
".. Pará";1210;1621;158;722;33;162;1;4;4038;1807;754;26;47;318;98;1688;224;5957;2322;21190
".. Amapá";105;151;8;72;2;25;-;-;264;152;62;3;2;30;6;264;30;179;345;1700
".. Tocantins";232;327;16;197;16;56;-;3;958;258;131;3;8;40;22;290;77;1050;579;4263
"Região Nordeste";12014;16896;1337;10243;1175;2067;2;34;46360;15406;8180;287;431;2401;512;10748;1950;67213;24384;221640
".. Maranhão";751;819;81;483;41;97;-;2;2582;739;473;7;20;193;53;732;124;5865;1341;14403
".. Piauí";409;709;53;276;34;88;-;1;2158;530;292;1;19;94;22;437;92;2722;735;8672
".. Ceará";2415;3612;231;1492;345;384;-;8;7936;3135;1163;53;95;349;117;1690;345;7616;3765;34751
".. Rio Grande do Norte";543;1082;67;562;62;161;-;1;2808;854;384;30;18;150;15;715;165;3740;1311;12668
".. Paraíba";593;749;98;548;46;150;1;2;2442;898;390;7;17;153;12;523;67;9172;1280;17148
".. Pernambuco";2781;4073;287;2767;257;420;1;9;11673;3717;2323;55;77;536;87;2305;465;12711;7200;51744
".. Alagoas";869;802;68;655;47;158;-;1;2706;1002;591;16;18;99;34;720;119;4929;1479;14313
".. Sergipe";468;618;81;480;69;74;-;2;1554;523;372;9;18;110;31;791;101;2987;1132;9420
".. Bahia";3185;4432;371;2980;274;535;-;8;12501;4008;2192;109;149;717;141;2835;472;17471;6141;58521
"Região Sudeste";22836;62987;2141;22329;3239;5865;8;54;139290;48440;22257;823;1189;7154;703;15252;4320;47288;60974;467149
".. Minas Gerais";5172;11686;603;4200;901;1369;2;11;28987;10657;4381;204;305;1555;129;3642;858;16051;8790;99503
".. Espírito Santo";608;1949;82;665;119;191;1;2;4473;1324;630;32;33;221;26;587;177;3339;2870;17329
".. Rio de Janeiro";5398;14828;612;6868;459;1186;4;21;33348;11753;4685;191;268;1767;199;3498;862;12344;15206;113497
".. São Paulo";11658;34524;844;10596;1760;3119;1;20;72482;24706;12561;396;583;3611;349;7525;2423;15554;34108;236820
"Região Sul";5722;25181;582;6375;914;2034;-;21;48976;16796;7491;204;449;1849;299;4435;1698;10583;16316;149925
".. Paraná";2117;8155;197;2568;429;787;-;10;18207;5565;2744;63;164;669;165;2039;678;3616;6628;54801
".. Santa Catarina";1129;4360;66;1073;103;354;-;3;8195;2724;1265;12;61;344;41;880;357;3622;3266;27855
".. Rio Grande do Sul";2476;12666;319;2734;382;893;-;8;22574;8507;3482;129;224;836;93;1516;663;3345;6422;67269
"Região Centro-Oeste";3287;6689;294;2342;408;762;-;4;14404;4839;2375;72;163;833;132;2545;822;5494;8994;54459
".. Mato Grosso do Sul";601;1479;72;514;46;130;-;1;3407;1100;498;17;24;201;22;558;137;1061;1621;11489
".. Mato Grosso";683;1200;98;546;118;167;-;3;2713;894;467;24;25;180;25;595;158;805;2075;10776
".. Goiás";1496;2694;92;932;158;321;-;-;6088;2227;968;19;66;307;65;992;301;3208;3716;23650
".. Distrito Federal";507;1316;32;350;86;144;-;-;2196;618;442;12;48;145;20;400;226;420;1582;8544
"Total";46496;115679;4657;43132;5831;11161;11;127;257179;89084;41922;1450;2321;12863;1825;36905;9468;141653;116894;938658
